Date_ID,Year,Month,Day,WeekDay,Quarter
20230103,2023,1,3,2,1
20230104,2023,1,4,3,1
20230105,2023,1,5,4,1
20230106,2023,1,6,5,1
20230109,2023,1,9,1,1
20230110,2023,1,10,2,1
20230111,2023,1,11,3,1
20230112,2023,1,12,4,1
20230113,2023,1,13,5,1
20230116,2023,1,16,1,1
20230117,2023,1,17,2,1
20230118,2023,1,18,3,1
20230119,2023,1,19,4,1
20230120,2023,1,20,5,1
20230130,2023,1,30,1,1
20230131,2023,1,31,2,1
20230201,2023,2,1,3,1
20230202,2023,2,2,4,1
20230203,2023,2,3,5,1
20230206,2023,2,6,1,1
20230207,2023,2,7,2,1
20230208,2023,2,8,3,1
20230209,2023,2,9,4,1
20230210,2023,2,10,5,1
20230213,2023,2,13,1,1
20230214,2023,2,14,2,1
20230215,2023,2,15,3,1
20230216,2023,2,16,4,1
20230217,2023,2,17,5,1
20230220,2023,2,20,1,1
20230221,2023,2,21,2,1
20230222,2023,2,22,3,1
20230223,2023,2,23,4,1
20230224,2023,2,24,5,1
20230227,2023,2,27,1,1
20230228,2023,2,28,2,1
20230301,2023,3,1,3,1
20230302,2023,3,2,4,1
20230303,2023,3,3,5,1
20230306,2023,3,6,1,1
20230307,2023,3,7,2,1
20230308,2023,3,8,3,1
20230309,2023,3,9,4,1
20230310,2023,3,10,5,1
20230313,2023,3,13,1,1
20230314,2023,3,14,2,1
20230315,2023,3,15,3,1
20230316,2023,3,16,4,1
20230317,2023,3,17,5,1
20230320,2023,3,20,1,1
20230321,2023,3,21,2,1
20230322,2023,3,22,3,1
20230323,2023,3,23,4,1
20230324,2023,3,24,5,1
20230327,2023,3,27,1,1
20230328,2023,3,28,2,1
20230329,2023,3,29,3,1
20230330,2023,3,30,4,1
20230331,2023,3,31,5,1
20230403,2023,4,3,1,2
20230404,2023,4,4,2,2
20230406,2023,4,6,4,2
20230407,2023,4,7,5,2
20230410,2023,4,10,1,2
20230411,2023,4,11,2,2
20230412,2023,4,12,3,2
20230413,2023,4,13,4,2
20230414,2023,4,14,5,2
20230417,2023,4,17,1,2
20230418,2023,4,18,2,2
20230419,2023,4,19,3,2
20230420,2023,4,20,4,2
20230421,2023,4,21,5,2
20230424,2023,4,24,1,2
20230425,2023,4,25,2,2
20230426,2023,4,26,3,2
20230427,2023,4,27,4,2
20230428,2023,4,28,5,2
20230504,2023,5,4,4,2
20230505,2023,5,5,5,2
20230508,2023,5,8,1,2
20230509,2023,5,9,2,2
20230510,2023,5,10,3,2
20230511,2023,5,11,4,2
20230512,2023,5,12,5,2
20230515,2023,5,15,1,2
20230516,2023,5,16,2,2
20230517,2023,5,17,3,2
20230518,2023,5,18,4,2
20230519,2023,5,19,5,2
20230522,2023,5,22,1,2
20230523,2023,5,23,2,2
20230524,2023,5,24,3,2
20230525,2023,5,25,4,2
20230526,2023,5,26,5,2
20230529,2023,5,29,1,2
20230530,2023,5,30,2,2
20230531,2023,5,31,3,2
20230601,2023,6,1,4,2
20230602,2023,6,2,5,2
20230605,2023,6,5,1,2
20230606,2023,6,6,2,2
20230607,2023,6,7,3,2
20230608,2023,6,8,4,2
20230609,2023,6,9,5,2
20230612,2023,6,12,1,2
20230613,2023,6,13,2,2
20230614,2023,6,14,3,2
20230615,2023,6,15,4,2
20230616,2023,6,16,5,2
20230619,2023,6,19,1,2
20230620,2023,6,20,2,2
20230621,2023,6,21,3,2
20230626,2023,6,26,1,2
20230627,2023,6,27,2,2
20230628,2023,6,28,3,2
20230629,2023,6,29,4,2
20230630,2023,6,30,5,2
20230703,2023,7,3,1,3
20230704,2023,7,4,2,3
20230705,2023,7,5,3,3
20230706,2023,7,6,4,3
20230707,2023,7,7,5,3
20230710,2023,7,10,1,3
20230711,2023,7,11,2,3
20230712,2023,7,12,3,3
20230713,2023,7,13,4,3
20230714,2023,7,14,5,3
20230717,2023,7,17,1,3
20230718,2023,7,18,2,3
20230719,2023,7,19,3,3
20230720,2023,7,20,4,3
20230721,2023,7,21,5,3
20230724,2023,7,24,1,3
20230725,2023,7,25,2,3
20230726,2023,7,26,3,3
20230727,2023,7,27,4,3
20230728,2023,7,28,5,3
20230731,2023,7,31,1,3
20230801,2023,8,1,2,3
20230802,2023,8,2,3,3
20230803,2023,8,3,4,3
20230804,2023,8,4,5,3
20230807,2023,8,7,1,3
20230808,2023,8,8,2,3
20230809,2023,8,9,3,3
20230810,2023,8,10,4,3
20230811,2023,8,11,5,3
20230814,2023,8,14,1,3
20230815,2023,8,15,2,3
20230816,2023,8,16,3,3
20230817,2023,8,17,4,3
20230818,2023,8,18,5,3
20230821,2023,8,21,1,3
20230822,2023,8,22,2,3
20230823,2023,8,23,3,3
20230824,2023,8,24,4,3
20230825,2023,8,25,5,3
20230828,2023,8,28,1,3
20230829,2023,8,29,2,3
20230830,2023,8,30,3,3
20230831,2023,8,31,4,3
20230901,2023,9,1,5,3
20230904,2023,9,4,1,3
20230905,2023,9,5,2,3
20230906,2023,9,6,3,3
20230907,2023,9,7,4,3
20230908,2023,9,8,5,3
20230911,2023,9,11,1,3
20230912,2023,9,12,2,3
20230913,2023,9,13,3,3
20230914,2023,9,14,4,3
20230915,2023,9,15,5,3
20230918,2023,9,18,1,3
20230919,2023,9,19,2,3
20230920,2023,9,20,3,3
20230921,2023,9,21,4,3
20230922,2023,9,22,5,3
20230925,2023,9,25,1,3
20230926,2023,9,26,2,3
20230927,2023,9,27,3,3
20230928,2023,9,28,4,3
20231009,2023,10,9,1,4
20231010,2023,10,10,2,4
20231011,2023,10,11,3,4
20231012,2023,10,12,4,4
20231013,2023,10,13,5,4
20231016,2023,10,16,1,4
20231017,2023,10,17,2,4
20231018,2023,10,18,3,4
20231019,2023,10,19,4,4
20231020,2023,10,20,5,4
20231023,2023,10,23,1,4
20231024,2023,10,24,2,4
20231025,2023,10,25,3,4
20231026,2023,10,26,4,4
20231027,2023,10,27,5,4
20231030,2023,10,30,1,4
20231031,2023,10,31,2,4
20231101,2023,11,1,3,4
20231102,2023,11,2,4,4
20231103,2023,11,3,5,4
20231106,2023,11,6,1,4
20231107,2023,11,7,2,4
20231108,2023,11,8,3,4
20231109,2023,11,9,4,4
20231110,2023,11,10,5,4
20231113,2023,11,13,1,4
20231114,2023,11,14,2,4
20231115,2023,11,15,3,4
20231116,2023,11,16,4,4
20231117,2023,11,17,5,4
20231120,2023,11,20,1,4
20231121,2023,11,21,2,4
20231122,2023,11,22,3,4
20231123,2023,11,23,4,4
20231124,2023,11,24,5,4
20231127,2023,11,27,1,4
20231128,2023,11,28,2,4
20231129,2023,11,29,3,4
20231130,2023,11,30,4,4
20231201,2023,12,1,5,4
20231204,2023,12,4,1,4
20231205,2023,12,5,2,4
20231206,2023,12,6,3,4
20231207,2023,12,7,4,4
20231208,2023,12,8,5,4
20231211,2023,12,11,1,4
20231212,2023,12,12,2,4
20231213,2023,12,13,3,4
20231214,2023,12,14,4,4
20231215,2023,12,15,5,4
20231218,2023,12,18,1,4
20231219,2023,12,19,2,4
20231220,2023,12,20,3,4
20231221,2023,12,21,4,4
20231222,2023,12,22,5,4
20231225,2023,12,25,1,4
20231226,2023,12,26,2,4
20231227,2023,12,27,3,4
20231228,2023,12,28,4,4
20231229,2023,12,29,5,4
